Sample Time (ms),CPU Usage (%),Free Memory (MB)
0,0.0,863.140625
123,17.2,863.875
246,7.8,863.9375
370,10.9,866.828125
480,10.7,866.90234375
603,7.8,868.50390625
713,7.1,870.16015625
822,3.6,870.39453125
945,12.5,864.62890625
1055,12.5,865.17578125
1164,14.3,851.16015625
1291,15.6,859.1015625
1414,24.6,865.6171875
1540,3.1,861.03125
1649,3.6,860.52734375
1773,1.6,858.34375
1882,8.9,849.27734375
1990,7.1,849.2421875
2112,10.9,849.15234375
2221,3.6,849.37890625
2330,5.6,849.50390625
2438,16.0,850.65234375
2546,16.1,850.73046875
2655,17.5,853.28515625
2765,8.9,854.3203125
2876,1.8,854.49609375
3001,12.5,849.67578125
3126,13.9,849.7109375
3236,12.5,850.1953125
3346,2.0,850.32421875
3454,5.0,850.3046875
3564,10.7,850.44140625
3673,46.0,844.15234375
3781,8.9,839.55078125
3890,1.8,838.29296875
3999,12.3,830.765625
4108,10.7,830.765625
4232,1.6,830.83984375
4341,0.0,830.8359375
4452,1.8,830.83203125
4575,14.1,831.61328125
4686,1.8,831.53515625
4794,1.8,829.55859375
4903,15.3,800.53515625
5026,40.9,760.7734375
5136,36.8,717.63671875
5259,34.9,676.015625
5382,67.6,640.640625
5491,26.8,643.96875
5614,9.4,644.06640625
5737,19.4,644.3046875
5847,18.6,644.75
5957,23.6,655.89453125
6081,32.3,679.20703125
6189,54.4,677.1640625
6299,10.5,673.6328125
6407,13.2,668.5859375
6517,13.3,660.6640625
6640,13.8,660.21875
6763,15.6,660.21875
6872,19.6,647.578125
6980,29.1,634.828125
7103,49.2,636.53125
7226,9.2,656.72265625
7349,7.9,656.8359375
7457,7.0,656.828125
7566,7.3,656.890625
7675,1.8,656.98828125
7785,7.1,657.00390625
7897,3.5,657.55859375
8021,12.5,645.99609375
8129,16.7,646.18359375
8238,13.8,646.32421875
8348,16.4,646.3203125
8456,19.6,646.32421875
8566,14.0,649.54296875
8676,12.7,645.08984375
8785,17.9,647.23046875
8908,12.5,649.86328125
9017,19.6,645.5234375
9126,24.5,647.11328125
9234,14.3,647.22265625
9343,8.9,647.6328125
9450,5.4,647.6875
9560,1.8,647.7265625
9668,7.0,647.76953125
9793,3.1,648.04296875
9903,10.7,648.46484375
10012,5.4,643.234375
10120,25.5,642.9296875
10244,13.8,663.421875
10368,3.1,663.41796875
10478,1.8,663.453125
10586,7.1,663.390625
10694,3.6,663.58984375
10803,1.8,663.58203125
10912,1.8,663.69140625
11022,5.4,658.546875
