Sample Time (ms),CPU Usage (%),Free Memory (MB)
0,0.0,982.6875
119,15.4,983.13671875
242,3.1,983.46484375
365,7.9,983.98828125
476,8.9,983.6796875
585,3.5,983.72265625
694,1.8,983.70703125
804,12.3,979.67578125
914,8.9,979.15234375
1023,12.7,979.140625
1132,17.0,977.58203125
1256,18.8,974.73828125
1381,29.2,972.71484375
1490,12.1,973.9375
1599,8.9,974.52734375
1711,1.8,974.5234375
1832,19.3,975.2109375
1941,17.9,965.92578125
2052,11.5,965.98046875
2176,6.8,964.6953125
2301,6.2,964.828125
2425,9.4,964.77734375
2534,1.8,964.82421875
2644,0.0,964.81640625
2754,1.8,964.8125
2864,5.3,964.9453125
2976,6.6,965.046875
3098,8.6,965.0234375
3208,6.2,965.01953125
3317,2.0,965.01953125
3441,1.6,965.01171875
3563,4.7,965.0078125
3673,19.6,946.6015625
3783,12.5,923.8203125
3891,1.8,924.8046875
3998,5.4,917.55859375
4122,20.3,916.58203125
4245,6.2,909.9765625
4372,4.7,898.31640625
4495,3.1,896.08203125
4622,6.2,891.828125
4747,6.2,883.8203125
4870,10.8,880.55859375
4995,32.8,866.421875
5121,25.0,865.0234375
5245,3.1,864.1484375
5354,3.6,863.76171875
5463,14.3,847.0859375
5571,10.7,853.66796875
5680,16.1,854.22265625
5790,17.9,854.14453125
5901,12.3,842.7890625
6010,21.8,811.26953125
6135,7.7,811.28515625
6260,3.1,812.1796875
6385,15.9,810.3515625
6495,15.8,812.04296875
6606,8.9,812.01953125
6717,10.7,812.09765625
6826,7.1,813.9609375
6937,10.7,813.7734375
7047,21.4,812.56640625
7172,3.1,812.80859375
7296,1.6,822.56640625
7404,0.0,822.71484375
7528,1.5,822.45703125
7652,4.7,822.3046875
7762,0.0,822.296875
7887,0.0,822.28515625
8012,10.8,822.25390625
8138,12.7,822.3515625
8249,15.8,813.42578125
8373,64.6,834.47265625
8483,1.8,872.96484375
8607,0.0,872.98046875
8733,0.0,873.078125
8858,3.1,873.08984375
8982,0.0,873.3515625
9105,12.3,873.69921875
9216,3.6,873.7578125
9340,3.1,873.76171875
9466,4.7,873.7734375
9592,0.0,873.90234375
9717,1.5,875.15234375
9842,4.7,875.41796875
9952,14.3,863.1171875
