Sample Time (ms),CPU Usage (%),Free Memory (MB)
0,0.0,737.86328125
117,51.6,742.55078125
228,17.5,771.0703125
337,10.5,791.44921875
447,17.9,807.1640625
555,3.6,817.44921875
666,5.4,817.3359375
774,7.0,821.53515625
882,14.3,802.1171875
990,1.8,802.1171875
1098,10.7,801.625
1223,38.6,792.3125
1331,23.2,798.09375
1458,11.9,793.5
1580,9.8,791.46484375
1688,17.9,785.5625
1798,17.9,776.3984375
1908,17.5,779.23828125
2017,8.9,779.57421875
2127,7.3,778.375
2252,18.5,772.3671875
2359,10.7,772.21875
2467,8.9,772.15625
2575,12.7,772.1484375
2686,14.0,772.23046875
2809,20.3,765.25
2920,11.3,765.28515625
3032,12.1,766.60546875
3141,26.3,756.84375
3250,17.9,765.0859375
3374,21.5,813.375
3484,7.1,845.3671875
3595,5.4,885.18359375
3703,1.8,899.1015625
3828,1.6,899.20703125
3937,3.5,900.3125
4060,3.2,913.390625
4170,14.0,916.015625
4280,3.6,915.80078125
4404,4.6,916.16796875
4530,4.7,902.69140625
4655,0.0,906.03125
4780,0.0,906.02734375
4906,4.7,906.53515625
